n_train,seed,model,eval_set,macro_f1,accuracy,f1_negative,f1_neutral,f1_positive,n_negative,n_neutral,n_positive
100,42,logreg,natural,0.3868,0.761,0.2523,0.0408,0.8673,14,8,78
100,42,logreg,balanced,0.2632,0.3767,0.2097,0.0571,0.5229,14,8,78
100,43,logreg,natural,0.4079,0.756,0.2523,0.1081,0.8633,14,8,78
100,43,logreg,balanced,0.3264,0.4067,0.3022,0.1379,0.5391,14,8,78
100,44,logreg,natural,0.3653,0.774,0.1768,0.0488,0.8705,14,8,78
100,44,logreg,balanced,0.2483,0.3767,0.2131,0.0,0.5319,14,8,78
100,42,xgb,natural,0.3626,0.724,0.1461,0.0876,0.854,14,8,78
100,42,xgb,balanced,0.3054,0.3867,0.2158,0.1681,0.5322,14,8,78
100,43,xgb,natural,0.3931,0.747,0.216,0.1043,0.8589,14,8,78
100,43,xgb,balanced,0.259,0.3667,0.2105,0.0354,0.5311,14,8,78
100,44,xgb,natural,0.3638,0.742,0.1354,0.0984,0.8577,14,8,78
100,44,xgb,balanced,0.2808,0.3867,0.1404,0.1667,0.5355,14,8,78
500,42,logreg,natural,0.4967,0.801,0.456,0.1414,0.8928,72,38,390
500,42,logreg,balanced,0.394,0.4733,0.4815,0.1091,0.5915,72,38,390
500,43,logreg,natural,0.4942,0.802,0.4774,0.1091,0.8962,72,38,390
500,43,logreg,balanced,0.4152,0.4767,0.4557,0.2034,0.5864,72,38,390
500,44,logreg,natural,0.4837,0.803,0.4774,0.0777,0.896,72,38,390
500,44,logreg,balanced,0.4173,0.4867,0.5212,0.1441,0.5864,72,38,390
500,42,xgb,natural,0.3837,0.761,0.2832,0.0,0.8679,72,38,390
500,42,xgb,balanced,0.3072,0.4033,0.2707,0.1121,0.5389,72,38,390
500,43,xgb,natural,0.3821,0.769,0.2719,0.0,0.8744,72,38,390
500,43,xgb,balanced,0.2717,0.3867,0.2615,0.0194,0.5341,72,38,390
500,44,xgb,natural,0.4204,0.769,0.2788,0.1101,0.8723,72,38,390
500,44,xgb,balanced,0.3158,0.4067,0.2857,0.1228,0.5389,72,38,390
2000,42,logreg,natural,0.5969,0.819,0.639,0.2446,0.907,288,152,1560
2000,42,logreg,balanced,0.5591,0.5867,0.6344,0.3885,0.6545,288,152,1560
2000,43,logreg,natural,0.5761,0.822,0.6124,0.2016,0.9143,288,152,1560
2000,43,logreg,balanced,0.5446,0.5833,0.6316,0.3308,0.6715,288,152,1560
2000,44,logreg,natural,0.5703,0.815,0.6254,0.1778,0.9076,288,152,1560
2000,44,logreg,balanced,0.6138,0.6367,0.6631,0.4853,0.6931,288,152,1560
2000,42,xgb,natural,0.4956,0.797,0.4528,0.1414,0.8924,288,152,1560
2000,42,xgb,balanced,0.4325,0.49,0.4819,0.2131,0.6026,288,152,1560
2000,43,xgb,natural,0.5116,0.815,0.5292,0.1053,0.9005,288,152,1560
2000,43,xgb,balanced,0.4132,0.4867,0.515,0.1228,0.6019,288,152,1560
2000,44,xgb,natural,0.5062,0.816,0.5143,0.101,0.9034,288,152,1560
2000,44,xgb,balanced,0.4274,0.4867,0.5342,0.1739,0.5741,288,152,1560
10000,42,logreg,natural,0.6506,0.831,0.7215,0.3195,0.9109,1439,761,7800
10000,42,logreg,balanced,0.7236,0.73,0.7789,0.642,0.75,1439,761,7800
10000,43,logreg,natural,0.6173,0.817,0.6562,0.2857,0.9101,1439,761,7800
10000,43,logreg,balanced,0.6721,0.6833,0.7282,0.5556,0.7325,1439,761,7800
10000,44,logreg,natural,0.6199,0.824,0.6894,0.2561,0.9141,1439,761,7800
10000,44,logreg,balanced,0.6864,0.7,0.7463,0.5641,0.749,1439,761,7800
10000,42,xgb,natural,0.5838,0.823,0.6773,0.1654,0.9086,1439,761,7800
10000,42,xgb,balanced,0.5893,0.6133,0.6593,0.4247,0.6838,1439,761,7800
10000,43,xgb,natural,0.5865,0.814,0.6581,0.2014,0.9001,1439,761,7800
10000,43,xgb,balanced,0.5593,0.5933,0.6524,0.3636,0.6619,1439,761,7800
10000,44,xgb,natural,0.5795,0.823,0.6645,0.1642,0.9099,1439,761,7800
10000,44,xgb,balanced,0.5629,0.6,0.6597,0.3622,0.6667,1439,761,7800
30000,42,logreg,natural,0.6538,0.827,0.7222,0.3246,0.9145,4318,2284,23398
30000,42,logreg,balanced,0.7544,0.76,0.8,0.6667,0.7965,4318,2284,23398
30000,43,logreg,natural,0.6538,0.827,0.7222,0.3246,0.9145,4318,2284,23398
30000,43,logreg,balanced,0.7544,0.76,0.8,0.6667,0.7965,4318,2284,23398
30000,44,logreg,natural,0.6538,0.827,0.7222,0.3246,0.9145,4318,2284,23398
30000,44,logreg,balanced,0.7544,0.76,0.8,0.6667,0.7965,4318,2284,23398
